onset	duration	nwb_table	stimulus_type	stimulus_description	estim_current	estim_target_region	estim_target_depth	behavioral_epoch	is_running	is_valid
590.01039	0.0006099999999378269	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
593.77976	0.0005999999999630745	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
597.48012	0.0006099999999378269	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
601.7359700000002	0.0006099999998241401	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
605.25276	0.0005999999998493877	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
608.7551599999998	0.0006100000001652006	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
613.22229	0.0006099999999378269	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
616.7827599999998	0.0006000000001904482	trials	electrical	biphasic	100	MOs	superficial	awake	False	True
620.92659	0.0005999999999630745	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
624.80067	0.0006100000000515138	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
628.43258	0.0005999999999630745	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
632.29894	0.0006099999999378269	trials	electrical	biphasic	100	MOs	superficial	awake	True	True
636.2377700000002	0.0006099999998241401	trials	electrical	biphasic	100	MOs	superficial	awake	False	True
640.4357	0.0006099999998241401	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
643.98975	0.0006000000000767614	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
647.56669	0.0006100000000515138	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
651.1212400000003	0.0005999999997357008	trials	electrical	biphasic	50	MOs	superficial	awake	False	True
655.47955	0.0005999999999630745	trials	electrical	biphasic	100	MOs	superficial	awake	False	True
659.6946	0.0005999999999630745	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
663.5251599999998	0.0006100000001652006	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
667.67745	0.0006099999999378269	trials	electrical	biphasic	100	MOs	superficial	awake	False	True
672.01484	0.0006099999999378269	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
676.4918700000002	0.0006099999998241401	trials	electrical	biphasic	20	MOs	superficial	awake	False	True
