name	probe_name	x	y	z	hemisphere	impedance	shank_id	location
e000	EEG array	377.0	58.0	82.0	n/a	n/a	EEG array	VISl
e001	EEG array	377.0	24.0	141.0	n/a	n/a	EEG array	VISp
e002	EEG array	377.0	20.0	188.0	n/a	n/a	EEG array	RSPagl
e003	EEG array	333.0	47.0	79.0	n/a	n/a	EEG array	VISal
e004	EEG array	333.0	25.0	119.0	n/a	n/a	EEG array	VISp
e005	EEG array	333.0	7.0	182.0	n/a	n/a	EEG array	RSPagl
e006	EEG array	290.0	47.0	81.0	n/a	n/a	EEG array	SSp-bfd
e007	EEG array	290.0	26.0	119.0	n/a	n/a	EEG array	VISa
e008	EEG array	290.0	9.0	183.0	n/a	n/a	EEG array	RSPagl
e009	EEG array	231.0	51.0	97.0	n/a	n/a	EEG array	SSp-bfd
e010	EEG array	231.0	29.0	143.0	n/a	n/a	EEG array	SSp-ll
e011	EEG array	170.0	51.0	156.0	n/a	n/a	EEG array	MOp
e012	EEG array	170.0	43.0	208.0	n/a	n/a	EEG array	MOs
e013	EEG array	120.0	63.0	172.0	n/a	n/a	EEG array	MOs
e014	EEG array	120.0	63.0	208.0	n/a	n/a	EEG array	MOs
e015	EEG array	120.0	63.0	248.0	n/a	n/a	EEG array	MOs
e016	EEG array	120.0	64.0	284.0	n/a	n/a	EEG array	MOs
e017	EEG array	170.0	43.0	248.0	n/a	n/a	EEG array	MOs
e018	EEG array	170.0	51.0	300.0	n/a	n/a	EEG array	MOp
e019	EEG array	231.0	29.0	312.0	n/a	n/a	EEG array	SSp-ll
e020	EEG array	231.0	51.0	358.0	n/a	n/a	EEG array	SSp-bfd
e021	EEG array	290.0	9.0	272.0	n/a	n/a	EEG array	RSPagl
e022	EEG array	290.0	25.0	336.0	n/a	n/a	EEG array	VISa
e023	EEG array	290.0	47.0	374.0	n/a	n/a	EEG array	SSp-bfd
e024	EEG array	333.0	7.0	273.0	n/a	n/a	EEG array	RSPagl
e025	EEG array	333.0	24.0	336.0	n/a	n/a	EEG array	VISp
e026	EEG array	333.0	47.0	376.0	n/a	n/a	EEG array	VISal
e027	EEG array	377.0	20.0	268.0	n/a	n/a	EEG array	RSPagl
e028	EEG array	377.0	24.0	315.0	n/a	n/a	EEG array	VISp
e029	EEG array	377.0	58.0	374.0	n/a	n/a	EEG array	VISl
e030	probeB	254.0	164.0	186.0	n/a	n/a	probeB	VAL
e031	probeB	255.0	164.0	186.0	n/a	n/a	probeB	VAL
e032	probeB	255.0	163.0	186.0	n/a	n/a	probeB	VAL
e033	probeB	255.0	163.0	186.0	n/a	n/a	probeB	VAL
e034	probeB	255.0	162.0	186.0	n/a	n/a	probeB	VAL
e035	probeB	255.0	162.0	186.0	n/a	n/a	probeB	VAL
e036	probeB	255.0	161.0	186.0	n/a	n/a	probeB	VAL
e037	probeB	255.0	161.0	186.0	n/a	n/a	probeB	VAL
e038	probeB	255.0	160.0	186.0	n/a	n/a	probeB	VAL
e039	probeB	255.0	160.0	186.0	n/a	n/a	probeB	VAL
e040	probeB	255.0	159.0	186.0	n/a	n/a	probeB	VAL
e041	probeB	255.0	159.0	186.0	n/a	n/a	probeB	AV
e042	probeB	255.0	159.0	186.0	n/a	n/a	probeB	AV
e043	probeB	255.0	158.0	186.0	n/a	n/a	probeB	AV
e044	probeB	255.0	158.0	186.0	n/a	n/a	probeB	AV
e045	probeB	255.0	157.0	186.0	n/a	n/a	probeB	AV
e046	probeB	255.0	157.0	186.0	n/a	n/a	probeB	AV
e047	probeB	255.0	156.0	186.0	n/a	n/a	probeB	AV
e048	probeB	255.0	156.0	186.0	n/a	n/a	probeB	AV
e049	probeB	255.0	155.0	186.0	n/a	n/a	probeB	AV
e050	probeB	255.0	155.0	185.0	n/a	n/a	probeB	AV
e051	probeB	255.0	154.0	185.0	n/a	n/a	probeB	AV
e052	probeB	255.0	154.0	185.0	n/a	n/a	probeB	AV
e053	probeB	255.0	153.0	185.0	n/a	n/a	probeB	AV
e054	probeB	255.0	153.0	185.0	n/a	n/a	probeB	AV
e055	probeB	256.0	152.0	185.0	n/a	n/a	probeB	AV
e056	probeB	256.0	152.0	185.0	n/a	n/a	probeB	AV
e057	probeB	256.0	151.0	185.0	n/a	n/a	probeB	AV
e058	probeB	256.0	151.0	185.0	n/a	n/a	probeB	AV
e059	probeB	256.0	150.0	185.0	n/a	n/a	probeB	AV
e060	probeB	256.0	150.0	185.0	n/a	n/a	probeB	AV
e061	probeB	256.0	149.0	185.0	n/a	n/a	probeB	AV
e062	probeB	256.0	149.0	185.0	n/a	n/a	probeB	AV
e063	probeB	256.0	148.0	185.0	n/a	n/a	probeB	AV
e064	probeB	256.0	148.0	185.0	n/a	n/a	probeB	AV
e065	probeB	256.0	148.0	185.0	n/a	n/a	probeB	LD
e066	probeB	256.0	147.0	185.0	n/a	n/a	probeB	LD
e067	probeB	256.0	147.0	185.0	n/a	n/a	probeB	LD
e068	probeB	256.0	147.0	185.0	n/a	n/a	probeB	LD
e069	probeB	256.0	146.0	185.0	n/a	n/a	probeB	LD
e070	probeB	256.0	146.0	185.0	n/a	n/a	probeB	LD
e071	probeB	256.0	145.0	185.0	n/a	n/a	probeB	LD
e072	probeB	256.0	145.0	185.0	n/a	n/a	probeB	LD
e073	probeB	256.0	144.0	185.0	n/a	n/a	probeB	LD
e074	probeB	256.0	144.0	185.0	n/a	n/a	probeB	LD
e075	probeB	256.0	144.0	185.0	n/a	n/a	probeB	LD
e076	probeB	256.0	143.0	185.0	n/a	n/a	probeB	LD
e077	probeB	256.0	143.0	185.0	n/a	n/a	probeB	LD
e078	probeB	256.0	142.0	185.0	n/a	n/a	probeB	LD
e079	probeB	256.0	142.0	185.0	n/a	n/a	probeB	LD
e080	probeB	256.0	141.0	185.0	n/a	n/a	probeB	LD
e081	probeB	256.0	141.0	185.0	n/a	n/a	probeB	LD
e082	probeB	256.0	141.0	185.0	n/a	n/a	probeB	LD
e083	probeB	256.0	140.0	185.0	n/a	n/a	probeB	LD
e084	probeB	256.0	140.0	185.0	n/a	n/a	probeB	LD
e085	probeB	256.0	139.0	185.0	n/a	n/a	probeB	LD
e086	probeB	257.0	139.0	185.0	n/a	n/a	probeB	LD
e087	probeB	257.0	138.0	185.0	n/a	n/a	probeB	LD
e088	probeB	257.0	138.0	185.0	n/a	n/a	probeB	LD
e089	probeB	257.0	138.0	185.0	n/a	n/a	probeB	LD
e090	probeB	257.0	137.0	185.0	n/a	n/a	probeB	LD
e091	probeB	257.0	137.0	185.0	n/a	n/a	probeB	LD
e092	probeB	257.0	136.0	185.0	n/a	n/a	probeB	LD
e093	probeB	257.0	136.0	185.0	n/a	n/a	probeB	LD
e094	probeB	257.0	135.0	184.0	n/a	n/a	probeB	LD
e095	probeB	257.0	135.0	184.0	n/a	n/a	probeB	LD
e096	probeB	257.0	134.0	184.0	n/a	n/a	probeB	LD
e097	probeB	257.0	134.0	184.0	n/a	n/a	probeB	LD
e098	probeB	257.0	134.0	184.0	n/a	n/a	probeB	LD
e099	probeB	257.0	133.0	184.0	n/a	n/a	probeB	LD
e100	probeB	257.0	133.0	184.0	n/a	n/a	probeB	LD
e101	probeB	257.0	132.0	184.0	n/a	n/a	probeB	LD
e102	probeB	257.0	132.0	184.0	n/a	n/a	probeB	LD
e103	probeB	257.0	131.0	184.0	n/a	n/a	probeB	LD
e104	probeB	257.0	131.0	184.0	n/a	n/a	probeB	LD
e105	probeB	257.0	131.0	184.0	n/a	n/a	probeB	LD
e106	probeB	257.0	130.0	184.0	n/a	n/a	probeB	LD
e107	probeB	257.0	130.0	184.0	n/a	n/a	probeB	LD
e108	probeB	258.0	129.0	184.0	n/a	n/a	probeB	LD
e109	probeB	258.0	129.0	184.0	n/a	n/a	probeB	LD
